AddChildActionInstance|mx.effects.effectClasses|The AddChildActionInstance class implements the instance class for the AddChildAction effect.
AddItemAction|mx.effects|The AddItemAction class defines an action effect that determines when the item renderer appears in the control for an item being added to a list-based control, such as List or TileList, or for an item that replaces an existing item in the control.
AddItemActionInstance|mx.effects.effectClasses|The AddItemActionInstance class implements the instance class for the AddItemAction effect.
AddItems|mx.states|Documentation is not currently available.
AddRemoveEffectTargetFilter|mx.effects.effectClasses|AddRemoveEffectTargetFilter is a subclass of EffectTargetFilter that handles the logic for filtering targets that have been added or removed as children to a container.
AdjustColor|fl.motion|The AdjustColor class defines various color properties, such as brightness, contrast, hue, and saturation, to support the ColorMatrixFilter class.
AdvancedDataGrid|mx.controls|The AdvancedDataGrid control expands on the functionality of the standard DataGrid control to add data visualization features to your Adobe Flex application.
AdvancedDataGridAccImpl|mx.accessibility|The AdvancedDataGridAccImpl class is the accessibility class for AdvancedDataGrid.
AdvancedDataGridAutomationImpl|mx.automation.delegates.advancedDataGrid|Defines methods and properties required to perform instrumentation for the AdvancedDataGrid control.
AdvancedDataGridBase|mx.controls.advancedDataGridClasses|The AdvancedDataGridBase class is the base class for controls that display lists of items in multiple columns, such as the AdvancedDataGrid and OLAPDataGrid controls.
AdvancedDataGridBaseEx|mx.controls|The AdvancedDataGridBaseEx class is a base class of the AdvancedDataGrid control.
AdvancedDataGridBaseExAutomationImpl|mx.automation.delegates.advancedDataGrid|Defines methods and properties required to perform instrumentation for the AdvancedDataGrid control.
AdvancedDataGridBaseSelectionData|mx.controls.advancedDataGridClasses|The AdvancedDataGridBaseSelectionData class defines a data structure used by the advanced data grid classes to track selected cells in the AdvancedDataGrid control.
AdvancedDataGridColumn|mx.controls.advancedDataGridClasses|The AdvancedDataGridColumn class describes a column in an AdvancedDataGrid control.
AdvancedDataGridColumnGroup|mx.controls.advancedDataGridClasses|Use the AdvancedDataGridColumnGroup class to specify column groups for the AdvancedDataGrid control.
AdvancedDataGridDragProxy|mx.controls.advancedDataGridClasses|The AdvancedDataGridDragProxy class defines the default drag proxy used when dragging data from an AdvancedDataGrid control.
AdvancedDataGridEvent|mx.events|The AdvancedDataGridEvent class represents event objects that are specific to the AdvancedDataGrid control, such as the event that is dispatched when an editable grid item gets the focus.
AdvancedDataGridEventReason|mx.events|The AdvancedDataGridEventReason class defines constants for the values of the reason property of a AdvancedDataGridEvent object when the type property is itemEditEnd.
AdvancedDataGridGroupItemRenderer|mx.controls.advancedDataGridClasses|The AdvancedDataGridGroupItemRenderer class defines the default item renderer for the nodes of the navigation tree.
AdvancedDataGridGroupItemRendererAutomationImpl|mx.automation.delegates.advancedDataGrid|Defines methods and properties required to perform instrumentation for the AdvancedDataGridGroupItemRenderer class.
AdvancedDataGridHeaderHorizontalSeparator|mx.skins.halo|The skin for the separator between column headers in an AdvancedDataGrid control.
AdvancedDataGridHeaderInfo|mx.controls.advancedDataGridClasses|The AdvancedDataGridHeaderInfo class contains information that describes the hierarchy of the columns of the AdvancedDataGrid control.
AdvancedDataGridHeaderRenderer|mx.controls.advancedDataGridClasses|The AdvancedDataGridHeaderRenderer class defines the default header renderer for a AdvancedDataGrid control.
AdvancedDataGridHeaderShiftEvent|mx.automation.events|The AdvancedDataGridHeaderShiftEvent class represents event objects that are dispatched when an AdvancedDataGrid control's header item is shifted.
AdvancedDataGridItemRenderer|mx.controls.advancedDataGridClasses|The AdvancedDataGridItemRenderer class defines the default item renderer for a AdvancedDataGrid control.
AdvancedDataGridItemRendererAutomationImpl|mx.automation.delegates.advancedDataGrid|Defines methods and properties required to perform instrumentation for the AdvancedDataGridItemRenderer class.
AdvancedDataGridItemSelectEvent|mx.automation.events|The AdvancedDataGridItemSelectEvent class represents event objects that are dispatched when an item in the header of an AdvancedDataGrid control is selected or deselected.
AdvancedDataGridListData|mx.controls.advancedDataGridClasses|The AdvancedDataGridListData class defines the data type of the listData property implemented by drop-in item renderers or drop-in item editors for the AdvancedDataGrid control.
AdvancedDataGridRendererDescription|mx.controls.advancedDataGridClasses|The AdvancedDataGridRendererDescription class contains information that describes an item renderer for the AdvancedDataGrid control.
AdvancedDataGridRendererProvider|mx.controls.advancedDataGridClasses|An AdvancedDataGridRendererProvider instance defines the characteristics for a single item renderer used by the AdvancedDataGrid control.
AdvancedDataGridSortItemRenderer|mx.controls.advancedDataGridClasses|The AdvancedDataGridSortItemRenderer class defines the item renderer for the sort icon and text field in the column header of the AdvancedDataGrid control.
AdvancedListBase|mx.controls.listClasses|The AdvancedListBase class is the base class for controls, such as the AdvancedDataGrid and OLAPDataGrid controls, that represent lists of items that can have one or more selected items and can scroll through the items.
AdvancedListBaseAutomationImpl|mx.automation.delegates.advancedDataGrid|Defines methods and properties required to perform instrumentation for the AdvancedListBase class.
AdvancedListBaseContentHolderAutomationImpl|mx.automation.delegates.advancedDataGrid|Defines methods and properties required to perform instrumentation for the AdvancedListBaseContentHolder class.
AdvancedStyleClient|mx.styles|A base class that can be used when implementing an object that uses the IAdvancedStyleClient interface.
AirDragManagerAutomationHandler|mx.automation.air|Helper class that provides methods required for automation of drag and drop in AIR applications 
AIREvent|mx.events|The AIREvent class represents the event object passed to the event listener for several AIR-specific events dispatched by the Window and WindowedApplication components.
AirFunctionsHelper|mx.automation.air|Helper class that provides methods required for automation of AIR applications 
Alert|mx.controls|The Alert control is a pop-up dialog box that can contain a message, a title, buttons (any combination of OK, Cancel, Yes, and No) and an icon.
AlertAccImpl|mx.accessibility|AlertAccImpl is a subclass of AccessibilityImplementation which implements accessibility for the Alert class.
AlertAutomationImpl|mx.automation.delegates.controls|Defines methods and properties required to perform instrumentation for the Alert control.
AlertFormAutomationImpl|mx.automation.delegates.controls|Defines methods and properties required to perform instrumentation for the AlertForm class.
Animate|spark.effects|This Animate effect animates an arbitrary set of properties between values.
AnimateColor|spark.effects|The AnimateColor effect animates a change in a color property over time, interpolating between given from/to color values on a per-channel basis.
AnimateColorInstance|spark.effects.supportClasses|The AnimateColorInstance class is the instance class of the AnimateColor effect, which animates a change in color by interpolating the from/to values per color channel.
AnimateFilter|spark.effects|The AnimateFilter effect applies an mx.filters.IBitmapFilter instance to the target and allows you to animate properties of the filter between values.
AnimateFilterInstance|spark.effects.supportClasses|The AnimateFilterInstance class implements the instance class for the AnimateFilter effect.
AnimateInstance|spark.effects.supportClasses|The AnimateInstance class implements the instance class for the Animate effect.
AnimateProperty|mx.effects|The AnimateProperty effect animates a property or style of a component.
AnimatePropertyInstance|mx.effects.effectClasses|The AnimatePropertyInstance class implements the instance class for the AnimateProperty effect.
AnimateTransform|spark.effects|The AnimateTransform effect controls all transform-related animations on target objects.
AnimateTransform3D|spark.effects|The AnimateTransform3D effect extends the abilities of the AnimateTransform effect to 3D transform properties.
AnimateTransformInstance|spark.effects.supportClasses|The AnimateTransformInstance class implements the instance class for the AnimateTransform effect.
AnimateTransitionShader|spark.effects|The AnimateTransitionShader effect animates a transition between two bitmaps, one representing the start state (bitmapFrom), and the other representing the end state (bitmapTo).
AnimateTransitionShaderInstance|spark.effects.supportClasses|The AnimateTransitionShaderInstance class implements the instance class for the AnimateTransitionShader effect.
Animation|spark.effects.animation|The Animation class defines an animation that happens between the start and end values of a property over a specified period of time.
Animator|fl.motion|The Animator class applies an XML description of a motion tween to a display object.
Animator3D|fl.motion|The Animator3D class applies an XML description of a three-dimensional motion tween to a display object.
AnimatorBase|fl.motion|The AnimatorBase class applies an XML description of a motion tween to a display object.
AnimatorFactory|fl.motion|The AnimatorFactory class provides ActionScript-based support to associate one Motion object with multiple display objects.
AnimatorFactory3D|fl.motion|The AnimatorFactory3D class provides ActionScript-based support to associate one Motion object containing three-dimensional properties with multiple display objects.
AnimatorFactoryBase|fl.motion|The AnimatorFactoryBase class provides ActionScript-based support to display and tween multiple targeted objects with one Motion dynamically at runtime.
AnimatorFactoryUniversal|fl.motion|The AnimatorFactoryUniversal class provides ActionScript-based support to associate one Motion object with multiple display objects.
AnimatorUniversal|fl.motion|The AnimatorUniversal class applies an ActionScript description of a two and three-dimensional motion to a display object.
AntiAliasType|flash.text|The AntiAliasType class provides values for anti-aliasing in the flash.text.TextField class.
Application|mx.core|Flex defines a default, or Application, container that lets you start adding content to your application without explicitly defining another container.
Application|spark.components|Flex defines a default, or Application, container that lets you start adding content to your application without explicitly defining another container.
ApplicationAutomationImpl|mx.automation.delegates.containers|Defines the methods and properties required to perform instrumentation for the Application class.
ApplicationBackground|mx.skins.halo|The skin for application background gradient.
ApplicationControlBar|mx.containers|The ApplicationControlBar container holds components that provide global navigation and application commands For the Halo Application container.
ApplicationDomain|flash.system|The ApplicationDomain class is a container for discrete groups of class definitions.
ApplicationDomainTarget|mx.core|The ApplicationDomainTarget class defines the possible values for the applicationDomainTarget property of the RSLData class.
ApplicationSkin|spark.skins.spark|The default skin class for the Spark Application component.
ApplicationSkin|spark.skins.wireframe|The default wireframe skin class for the Spark Application component.
ApplicationTitleBarBackgroundSkin|mx.skins.halo|The skin for the TitleBar of a WindowedApplication or Window.
ApplicationUpdater|air.update|The ApplicationUpdater class defines the basic functionality of the update framework for Adobe® AIR® applications, without providing any default user interface.
ApplicationUpdaterUI|air.update|The ApplicationUpdaterUI class defines the basic functionality of the update framework for Adobe® AIR® applications, and it provides a default user interface.
ApplyElementIDOperation|flashx.textLayout.operations|The ChangeElementIDOperation class encapsulates an element ID change.
ApplyElementStyleNameOperation|flashx.textLayout.operations|The ApplyElementStyleNameOperation class encapsulates a style name change.
ApplyElementTypeNameOperation|flashx.textLayout.operations|The ApplyElementTypeNameOperation class encapsulates a type name change.
ApplyElementUserStyleOperation|flashx.textLayout.operations|The ApplyElementUserStyleOperation class encapsulates a change in a style value of an element.
ApplyFormatOperation|flashx.textLayout.operations|The ApplyFormatOperation class encapsulates a style change.
ApplyFormatToElementOperation|flashx.textLayout.operations|The ApplyFormatToElementOperation class encapsulates a style change to an element.
ApplyLinkOperation|flashx.textLayout.operations|The ApplyLinkOperation class encapsulates a link creation or modification operation.
ApplyTCYOperation|flashx.textLayout.operations|The ApplyTCYOperation class encapsulates a TCY transformation.
AreaChart|mx.charts|The AreaChart control represents data as an area bounded by a line connecting the values in the data.
AreaRenderer|mx.charts.renderers|The default class used to render the area beneath the dataPoints of an AreaSeries object.
AreaSeries|mx.charts.series|Defines a data series for an AreaChart control.
AreaSeriesAutomationImpl|mx.automation.delegates.charts|Defines the methods and properties required to perform instrumentation for the AreaSeries class.
AreaSeriesItem|mx.charts.series.items|Represents the information required to render an item as part of an AreaSeries.
AreaSeriesRenderData|mx.charts.series.renderData|Represents all the information needed by the AreaSeries to render.
AreaSet|mx.charts.series|A grouping set that can be used to stack AreaSeries objects in any chart.
ARecord|flash.net.dns|The ARecord class represents a Domain Name System (DNS) A resource record containing an IPv4 address.
ArgumentError|Top Level|The ArgumentError class represents an error that occurs when the arguments supplied in a function do not match the arguments defined for that function.
arguments|Top Level|An arguments object is used to store and access a function's arguments.
Array|Top Level|The Array class lets you access and manipulate arrays.
ArrayCollection|mx.collections|The ArrayCollection class is a wrapper class that exposes an Array as a collection that can be accessed and manipulated using the methods and properties of the ICollectionView or IList interfaces.
ArrayList|mx.collections|The ArrayList class is a simple implementation of IList that uses a backing Array as the source of the data.
ArrayUtil|mx.utils|The ArrayUtil utility class is an all-static class with methods for working with arrays within Flex.
ArrowDirection|spark.components|Enumeration of arrow directions for use in visual components.
AsyncErrorEvent|flash.events|An object dispatches an AsyncErrorEvent when an exception is thrown from native asynchronous code, which could be from, for example, LocalConnection, NetConnection, SharedObject, or NetStream.
AsyncListView|mx.collections|The AsyncListView class is an implementation of the IList interface that handles ItemPendingErrors errors thrown by the getItemAt(), removeItemAt(), and toArray() methods.
AsyncRequest|mx.rpc|The AsyncRequest class provides an abstraction of messaging for RPC call invocation.
AsyncResponder|mx.rpc|This class provides an RPC specific implementation of mx.rpc.IResponder.
AsyncToken|mx.rpc|This class provides a place to set additional or token-level data for asynchronous RPC operations.
AudioDecoder|flash.media|The AudioDecoder class enumerates the types of multichannel audio that a system can support.
AudioPlaybackMode|flash.media|The AudioPlaybackMode class defines constants for the audioPlaybackMode property of the SoundMixer class.
AuthenticationMethod|flash.net.drm|The AuthenticationMethod class provides string constants enumerating the different types of authentication used by the authenticationMethod property of the DRMContentData class.
AutoCapitalize|flash.text|The AutoCapitalize class defines constants for the autoCapitalize property of the StageText class.
AutoLayoutEvent|fl.video|Flash® Player dispatches an AutoLayoutEvent object when the video player is resized and laid out automatically.
Automation|mx.automation|The Automation class defines the entry point for the Flex Automation framework.
AutomationAirEvent|mx.automation.events|The AutomationAirEvent class represents event objects that are dispatched by the AutomationManager.
AutomationClass|mx.automation|Provides serializable class information for external automation tools.
AutomationDragEvent|mx.automation.events|The AutomationDragEvent class represents event objects that are dispatched as part of a drag-and-drop operation.
AutomationDragEventWithPositionInfo|mx.automation.events|The AutomationDragEventWithPositionInfo class represents event objects that are dispatched as part of a drag-and-drop operation.
AutomationError|mx.automation|The AutomationError class defines the error constants used by the Flex Automation mechanism.
AutomationEvent|mx.automation.events|The AutomationEvent class represents event objects that are dispatched by the AutomationManager.
AutomationEventDescriptor|mx.automation|Method descriptor class.
AutomationFlexNativeMenuEvent|mx.automation.events|The AutomationFlexNativeEvent class represents event objects that are dispatched as part of a flexnativemenu selection operation.
AutomationHelper|mx.automation|Helper class used to call appropriate methods based on whether the current app is an AIR app or a Flex app.
AutomationID|mx.automation|The Flex automation framework uses the AutomationID class to build object identification that Agents can use.
AutomationIDPart|mx.automation|The AutomationIDPart class represents a component instance to agents.
AutomationManager|mx.automation|Provides the interface for manipulating the automation hierarchy, and for recording and replaying events.
AutomationMethodDescriptor|mx.automation|Basic method descriptor class.
AutomationPropertyDescriptor|mx.automation|Describes a property of a test object.
AutomationRecordEvent|mx.automation.events|The AutomationRecordEvent class represents event objects that are dispatched by the AutomationManager.
AutomationReplayEvent|mx.automation.events|The AutomationReplayEvent class represents event objects that are dispatched by the AutomationManager, and used by the functional testing classes and any other classes that must replay user interactions.
AVDictionaryDataEvent|flash.events|AVStream dispatch AVDictionaryDataEvent to signal ID3 tag information 
AverageAggregator|mx.olap.aggregators|The AverageAggregator class implements the average aggregator.
AVHTTPStatusEvent|flash.events|The application dispatches AVHTTPStatusEvent objects when a network request returns an HTTP status code.
AVLoader|flash.display| 
AVM1Movie|flash.display|AVM1Movie is a simple class that represents AVM1 movie clips, which use ActionScript 1.0 or 2.0.
AVNetworkingParams|flash.media|AVStream dispatch AVPlayStateEvent during playback to indicate changes in state.
AVPauseAtPeriodEndEvent|flash.events|AVStream dispatches AVPauseAtPeriodEndEvent when the period end is reached for the period to which this event is requested.
AVTagData|flash.media|Provides information about a cue point from a period in an HLS stream.
AVURLLoader|flash.media|The URLLoader class downloads data from a URL as text, binary data, or URL-encoded variables.
AVURLStream|flash.media|The URLStream class provides low-level access to downloading URLs.
AxisBase|mx.charts.chartClasses|The AxisBase class serves as a base class for the various axis types supported in Flex.
AxisLabel|mx.charts|An AxisLabel object represents a single label on the chart axis.
AxisLabelSet|mx.charts.chartClasses|An AxisLabelSet represents the label and tick data generated by an implementation of IAxis.
AxisRenderer|mx.charts|You use the AxisRenderer class to describe the horizontal and vertical axes of a chart.
AxisRendererAutomationImpl|mx.automation.delegates.charts|Defines the methods and properties required to perform instrumentation for the AxisRenderer class.
Back|fl.motion.easing|The Back class defines three easing functions to implement motion with ActionScript animations.
Back|fl.transitions.easing|The Back class defines three easing functions to implement motion with ActionScript animations.
Back|mx.effects.easing|The Back class defines three easing functions to implement motion with Flex effect classes.
BackgroundColor|flashx.textLayout.formats|Defines a constant for specifying that the value of the backgroundColor property of the TextLayoutFormat class is "transparent".
BarChart|mx.charts|The BarChart control represents data as a series of horizontal bars whose length is determined by values in the data.
BarSeries|mx.charts.series|Defines a data series for a BarChart control.
BarSeriesAutomationImpl|mx.automation.delegates.charts|Defines the methods and properties required to perform instrumentation for the BarSeries class.
BarSeriesItem|mx.charts.series.items|Represents the information required to render an item as part of a BarSeries.
BarSeriesRenderData|mx.charts.series.renderData|Represents all the information needed by the BarSeries to render.
BarSet|mx.charts.series|A grouping set that can be used to stack or cluster BarSeries objects in any chart.
Base64Decoder|mx.utils|A utility class to decode a Base64 encoded String to a ByteArray.
Base64Encoder|mx.utils|A utility class to encode a String or ByteArray as a Base64 encoded String.
BaseButton|fl.controls|The BaseButton class is the base class for all button components, defining properties and methods that are common to all buttons.
BaseDimensionFilter|mx.filters|Base class for some Spark filters.
BaseFilter|mx.filters|Base class for some Spark filters.
BaselineOffset|flashx.textLayout.formats|Defines values for the firstBaselineOffset property of the TextLayoutFormat and ContainerFormattedElement classes.
BaselineShift|flashx.textLayout.formats|Defines constants for specifying subscript or superscript in the baselineShift property of the TextLayoutFormat class.
BaseListData|mx.controls.listClasses|The BaseListData class defines the data type of the listData property implemented by drop-in item renderers or drop-in item editors.
BaseScrollPane|fl.containers|The BaseScrollPane class handles basic scroll pane functionality including events, styling, drawing the mask and background, the layout of scroll bars, and the handling of scroll positions.
BasicLayout|spark.layouts|The BasicLayout class arranges the layout elements according to their individual settings, independent of each-other.
BeveledActionButtonSkin|spark.skins.mobile|iOS-styled ActionBar Button skin for use in the actionContent skinPart.
BeveledBackButtonSkin|spark.skins.mobile|iOS-styled ActionBar Button skin for use in the navigationContent skinPart.
BevelFilter|flash.filters|The BevelFilter class lets you add a bevel effect to display objects.
BevelFilter|spark.filters|The BevelFilter class lets you add a bevel effect to display objects.
BezierEase|fl.motion|The BezierEase class provides precise easing control for a motion tween between two keyframes.
BezierSegment|fl.motion|A Bezier segment consists of four Point objects that define a single cubic Bezier curve.
BindingUtils|mx.binding.utils|The BindingUtils class defines utility methods for performing data binding from ActionScript.
Bitmap|flash.display|The Bitmap class represents display objects that represent bitmap images.
BitmapAsset|mx.core|BitmapAsset is a subclass of the flash.display.Bitmap class which represents bitmap images that you embed in a Flex application.
BitmapData|flash.display|The BitmapData class lets you work with the data (pixels) of a Bitmap object bitmap image.
BitmapDataChannel|flash.display|The BitmapDataChannel class is an enumeration of constant values that indicate which channel to use: red, blue, green, or alpha transparency.
BitmapEncodingColorSpace|flash.display|The BitmapEncodingColorSpace class defines the constants that specify how color channels are sampled by the flash.display.BitmapData.encode() method when specifying the compressor as flash.display.JPEGXREncoderOptions.
BitmapFill|mx.graphics|Defines a set of values used to fill an area on screen with a bitmap or other DisplayObject.
BitmapFillMode|mx.graphics|The BitmapFillMode class defines an enumeration of the resize modes that determine how a BitmapImage fills in the dimensions specified by the layout system.
BitmapFilter|flash.filters|The BitmapFilter class is the base class for all image filter effects.
BitmapFilterQuality|flash.filters|The BitmapFilterQuality class contains values to set the rendering quality of a BitmapFilter object.
BitmapFilterType|flash.filters|The BitmapFilterType class contains values to set the type of a BitmapFilter.
BitmapImage|spark.primitives|A BitmapImage element defines a rectangular region in its parent element's coordinate space, filled with bitmap data drawn from a source file or source URL.
BitmapScaleMode|mx.graphics|The BitmapScaleMode class defines an enumeration for the scale modes that determine how a BitmapImage scales image content when fillMode is set to mx.graphics.BitmapFillMode.SCALE.
BitmapSmoothingQuality|mx.graphics|An enum of the smoothing quality modes that determine how a BitmapImage scales image content when fillMode is set to BitmapFillMode.SCALE and smooth is true.
BitmapUtil|spark.utils|This class provides bitmap-related utility functions 
BlendMode|flash.display|A class that provides constant values for visual blend mode effects.
Blinds|fl.transitions|The Blinds class reveals the movie clip object by using appearing or disappearing rectangles.
BlockProgression|flashx.textLayout.formats|Defines values for the blockProgression property of the TextLayouFormat class.
Blur|mx.effects|The Blur effect lets you apply a blur visual effect to a component.
BlurFilter|flash.filters|The BlurFilter class lets you apply a blur visual effect to display objects.
BlurFilter|spark.filters|The BlurFilter class lets you apply a blur visual effect to display objects.
BlurInstance|mx.effects.effectClasses|The BlurInstance class implements the instance class for the Blur effect.
Boolean|Top Level|A Boolean object is a data type that can have one of two values, either true or false, used for logical operations.
Border|mx.skins|The Border class is an abstract base class for various classes that draw borders, either rectangular or non-rectangular, around UIComponents.
BorderContainer|spark.components|The BorderContainer class defines a set of CSS styles that control the appearance of the border and background fill of the container.
BorderContainerSkin|spark.skins.spark|The default skin class for a Spark BorderContainer component.
BorderSkin|mx.skins.spark|The Spark skin class for the MX Border base class.
BorderSkin|mx.skins.wireframe|The wireframe skin class for the MX Border base class.
Bounce|fl.motion.easing|The Bounce class defines three easing functions to implement bouncing motion with ActionScript animation, similar to a ball falling and bouncing on a floor with several decaying rebounds.
Bounce|fl.transitions.easing|The Bounce class defines three easing functions to implement bouncing motion with ActionScript animation, similar to a ball falling and bouncing on a floor with several decaying rebounds.
Bounce|mx.effects.easing|The Bounce class defines three easing functions to implement bounce motion with Flex effect classes.
Bounce|spark.effects.easing|The Bounce class implements easing functionality simulating gravity pulling on and bouncing the target object.
BoundedValue|mx.charts.chartClasses|A bounded value is used to represent a datapoint that a chart element intends to render on screen.
Box|mx.containers|A Halo Box container lays out its children in a single vertical column or a single horizontal row.
BoxAutomationImpl|mx.automation.delegates.containers|Defines the methods and properties required to perform instrumentation for the Box class.
BoxDirection|mx.containers|The BoxDirection class specifies constant values for the direction property of the Box container.
BoxDivider|mx.containers.dividedBoxClasses|The BoxDivider class represents the divider between children of a DividedBox container.
BoxItemRenderer|mx.charts.renderers|A simple chart itemRenderer implementation that fills a rectangular area.
BreakElement|flashx.textLayout.elements|The BreakElement class defines a line break, which provides for creating a line break in the text without creating a new paragraph.
BreakOpportunity|flash.text.engine|The BreakOpportunity class is an enumeration of constant values that you can use to set the breakOpportunity property of the ElementFormat class.
BrokenImageBorderSkin|mx.skins.halo|The skin for the border of a SWFLoader or Image component when the content could not be loaded.
BrowserChangeEvent|mx.events|The BrowserChangeEvent class represents event objects specific to the BrowserManager.
BrowserInvokeEvent|flash.events|The NativeApplication object of an AIR application dispatches a browserInvoke event when the application is invoked as the result of a SWF file in the browser using the browser invocation feature.
BrowserManager|mx.managers|The BrowserManager is a Singleton manager that acts as a proxy between the browser and the application.
BubbleChart|mx.charts|The BubbleChart control represents data with three values for each data point.
BubbleSeries|mx.charts.series|Defines a data series for a BubbleChart control.
BubbleSeriesAutomationImpl|mx.automation.delegates.charts|Defines the methods and properties required to perform instrumentation for the BubbleSeries class.
BubbleSeriesItem|mx.charts.series.items|Represents the information required to render an item as part of a BubbleSeries.
BubbleSeriesRenderData|mx.charts.series.renderData|Represents all the information needed by the BubbleSeries to render.
BusyCursor|mx.skins.halo|Defines the appearance of the cursor that appears while an operation is taking place.
BusyIndicator|spark.components|The BusyIndicator defines a component to display when a long-running operation is in progress.
Button|fl.controls|The Button component represents a commonly used rectangular button.
Button|mx.controls|The Button control is a commonly used rectangular button.
Button|spark.components|The Button component is a commonly used rectangular button.
ButtonAccImpl|fl.accessibility|The ButtonAccImpl class, also called the Button Accessibility Implementation class, enables communication between a Button component and a screen reader.
ButtonAccImpl|mx.accessibility|ButtonAccImpl is a subclass of AccessibilityImplementation which implements accessibility for the Button class.
ButtonAsset|mx.core|ButtonAsset is a subclass of the flash.display.SimpleButton class which represents button symbols that you embed in a Flex application from a SWF file produced by Flash.
ButtonAutomationImpl|mx.automation.delegates.controls|Defines methods and properties required to perform instrumentation for the Button control.
ButtonBar|mx.controls|The ButtonBar control defines a horizontal or vertical group of logically related push buttons with a common look and navigation.
ButtonBar|spark.components|The ButtonBar control defines a horizontal group of logically related buttons with a common look and navigation.
ButtonBarAutomationImpl|mx.automation.delegates.controls|Defines methods and properties required to perform instrumentation for the ButtonBar control.
ButtonBarBase|spark.components.supportClasses|The ButtonBarBase class defines the common behavior for the ButtonBar, TabBar and similar subclasses.
ButtonBarBaseAccImpl|spark.accessibility|ButtonBarBaseAccImpl is the accessibility implementation class for spark.components.supportClasses.ButtonBarBase.
ButtonBarButton|spark.components|The ButtonBarButton class defines the custom item renderer used by the ButtonBar control.
ButtonBarButtonClassFactory|spark.skins.mobile.supportClasses|Adds skinClass style support to ClassFactory.
ButtonBarButtonSkin|mx.skins.halo|The skin for all the states of the ButtonBarButtons in a ButtonBar.
ButtonBarButtonSkinBase|spark.skins.mobile.supportClasses|ButtonBarButton skin base class.
ButtonBarFirstButtonSkin|mx.skins.spark|The Spark skin class for the first button in the MX ButtonBar component.
ButtonBarFirstButtonSkin|mx.skins.wireframe|The wireframe skin class for the first button in the MX ButtonBar component.
